# source_ids: S89
# metric: autonomous task time horizon (hours) at two success thresholds, for public frontier
#   models and for laboratories' internal configurations.
# units: hours of human-expert task time. Denominator: one task attempted autonomously.
# dataset_version: METR Frontier Risk Report (February-March 2026), published 2026-05-19
# date_range: pilot evaluations, February-March 2026
# transformation: none. Values copied verbatim from the Pass C report table "Autonomy
#   Performance Metric / Public Frontier Models / Internal Frontier Models" (locator C:[cite:12]).
#   Internal values are reported as lower bounds (">= 16 to 20 hours", ">= 3 to 4 hours"); the
#   chart plots the lower end of each stated range and labels it as a floor.
# render_command: python charts/render_charts.py reliability_gap
configuration,threshold,hours,label
Public frontier models,50% success,12.0,"~12 h"
Public frontier models,80% success,1.5,"~1.5 h"
Internal frontier configs,50% success,16.0,"16-20 h"
Internal frontier configs,80% success,3.0,"3-4 h"
